accession	tissues	assay_name
PXD017011	"[""kidney""]"	20140515_SJ_LiMengnan_IP_01
PXD017011	"[""kidney""]"	20140515_SJ_LiMengnan_IP_21
PXD017011	"[""kidney""]"	20140515_SJ_LiMengnan_IP_10
PXD017011	"[""kidney""]"	20140515_SJ_LiMengnan_IP_13
PXD017011	"[""kidney""]"	20140515_SJ_LiMengnan_IP_14
PXD017011	"[""kidney""]"	20140515_SJ_LiMengnan_IP_09
PXD017011	"[""kidney""]"	20140515_SJ_LiMengnan_IP_11
PXD017011	"[""kidney""]"	20140515_SJ_LiMengnan_IP_04
PXD017011	"[""kidney""]"	20140515_SJ_LiMengnan_IP_08
PXD017011	"[""kidney""]"	20140515_SJ_LiMengnan_IP_06
PXD017011	"[""kidney""]"	20140515_SJ_LiMengnan_IP_15
PXD017011	"[""kidney""]"	20140515_SJ_LiMengnan_IP_05
PXD017011	"[""kidney""]"	20140515_SJ_LiMengnan_IP_19
PXD017011	"[""kidney""]"	20140515_SJ_LiMengnan_IP_16
PXD017011	"[""kidney""]"	20140515_SJ_LiMengnan_IP_02
PXD017011	"[""kidney""]"	20140515_SJ_LiMengnan_IP_17
PXD015780	"[""blood""]"	64-bMV-b
PXD015780	"[""blood""]"	64-bMV-a
PXD015780	"[""blood""]"	63-bMV-b
PXD015780	"[""blood""]"	65-OCMV-a
PXD015780	"[""blood""]"	65-MV-a
PXD015780	"[""blood""]"	63-MV-b
PXD015780	"[""blood""]"	65-bMV-a
PXD015780	"[""blood""]"	63-MV-c
PXD015780	"[""blood""]"	64-MV-a
PXD015780	"[""blood""]"	65-OCMV-c
PXD015780	"[""blood""]"	63-bMV-c
PXD015780	"[""blood""]"	63-bMV-a
PXD015780	"[""blood""]"	65-bMV-b
PXD015780	"[""blood""]"	63-OCMV-b
PXD015780	"[""blood""]"	65-MV-b
PXD015780	"[""blood""]"	63-OCMV-c
PXD015780	"[""blood""]"	64-bMV-c
PXD015780	"[""blood""]"	65-bMV-c
PXD015780	"[""blood""]"	63-MV-a
PXD015780	"[""blood""]"	63-OCMV-a
PXD015780	"[""blood""]"	64-OCMV-a
PXD015780	"[""blood""]"	64-MV-c
PXD015780	"[""blood""]"	64-OCMV-c
PXD015780	"[""blood""]"	65-OCMV-b
PXD015780	"[""blood""]"	65-MV-c
PXD015780	"[""blood""]"	64-MV-b
PXD015780	"[""blood""]"	64-OCMV-b
PXD005978	"[""blood""]"	b1370p42S05R_TP_F6350
PXD005978	"[""blood""]"	b1370p42S02R_TP_F2601
PXD005978	"[""blood""]"	b1370p30_S40_R8774_Basal
PXD005978	"[""blood""]"	b1370p30_S43_T4954_Basal_R
PXD005978	"[""blood""]"	b1370p30_S38_R5657_Basal
PXD005978	"[""blood""]"	b1370p30_S25_F0763_Basal_R
PXD005978	"[""blood""]"	b1370p42S22_TP_R9150
PXD005978	"[""blood""]"	b1370p42S30_TP_X8719
PXD005978	"[""blood""]"	b1370p30_S37_F0461_Basal_R
PXD005978	"[""blood""]"	b1370p30_S14_F2601_Basal_R
PXD005978	"[""blood""]"	b1370p30_S9_T2100_Basal
PXD005978	"[""blood""]"	b1370p30_S34_X3932_Basal_R
PXD005978	"[""blood""]"	b1370p42S10R_TP_R3221
PXD005978	"[""blood""]"	b1370p30_S15_F6350_Basal_R
PXD005978	"[""blood""]"	b1370p42S21_TP_R8774
PXD005978	"[""blood""]"	b1370p30_S4_F8011_Basal_R
PXD005978	"[""blood""]"	b1370p30_S16_F8310_Basal_R
PXD005978	"[""blood""]"	b1370p30_S15_F6350_Basal
PXD005978	"[""blood""]"	b1370p42S26_TP_T8724
PXD005978	"[""blood""]"	b1370p30_S29_R9318_Basal
PXD005978	"[""blood""]"	b1370p30_S4_F8011_Basal
PXD005978	"[""blood""]"	b1370p42S18_TP_T4954
PXD005978	"[""blood""]"	b1370p30_S22_X7790_Basal_R
PXD005978	"[""blood""]"	b1370p30_S28_F8903_Basal_R
PXD005978	"[""blood""]"	b1370p42S19R_TP_T5177
PXD005978	"[""blood""]"	b1370p30_S32_T2413_Basal
PXD005978	"[""blood""]"	b1370p30_S26_F2673_Basal_R
PXD005978	"[""blood""]"	b1370p42S30R_TP_X8719
PXD005978	"[""blood""]"	b1370p30_S23_X7910_Basal
PXD005978	"[""blood""]"	b1370p42S29_TP_X7910
PXD005978	"[""blood""]"	b1370p30_S36_X8719_Basal_R
PXD005978	"[""blood""]"	b1370p42S08R_TP_F8903
PXD005978	"[""blood""]"	b1370p42S04R_TP_F3892
PXD005978	"[""blood""]"	b1370p42S20R_TP_T5282
PXD005978	"[""blood""]"	b1370p42S27_TP_X3720
PXD005978	"[""blood""]"	b1370p42S05_TP_F6350
PXD005978	"[""blood""]"	b1370p30_S16_F8310_Basal
PXD005978	"[""blood""]"	b1370p42S01R_TP_F0763
PXD005978	"[""blood""]"	b1370p30_S31_T2069_Basal
PXD005978	"[""blood""]"	b1370p42S13R_TP_R7919
PXD005978	"[""blood""]"	b1370p30_S12_T6591_Basal_R
PXD005978	"[""blood""]"	b1370p42S16R_TP_T2413
