,epoch,learning_rate,batch_size,latent_space,kappa,train_loss,test_loss,train_loss_kl,train_loss_mse,test_loss_kl,test_loss_mse
0,1,0.0001,5,2,0.001,12.98936933494476,11.8002749178783,4.490642283336226,8.498727040118482,2.496432951954474,9.30384200452322
1,2,0.0001,5,2,0.001,13.878113011279739,13.522784083722586,6.0745970140020535,7.803516026002815,5.246272196252662,8.27651197939034
2,3,0.0001,5,2,0.001,14.971896217530032,14.57785747711917,8.153851187372782,6.81804503015725,7.236441474363028,7.341415997011116
3,4,0.0001,5,2,0.001,15.354516178728586,15.312516832926187,9.196479596287372,6.15803659680378,8.759699993822949,6.552816839103239
4,5,0.0001,5,2,0.001,15.170740024153009,15.35390372448657,9.305358444351748,5.865381683211729,9.275061084563474,6.078842703118382
5,6,0.0001,5,2,0.001,15.418650696076542,15.509550450796104,9.710024517702768,5.708626115178487,9.67384225201894,5.835708247609885
6,7,0.0001,5,2,0.001,15.744244678910956,15.573132193232157,10.142858637384622,5.601385992693614,9.855469944965408,5.717662162091359
7,8,0.0001,5,2,0.001,15.879175404468215,15.946949924331113,10.353565870997418,5.5256095593234145,10.314103976789728,5.632845953286412
8,9,0.0001,5,2,0.001,15.782455421355834,16.075841329183923,10.318112269941583,5.464343243334667,10.505337887499707,5.5705034704093475
9,10,0.0001,5,2,0.001,15.626826447176645,15.9214549236987,10.199740450066257,5.4270859798753115,10.420174736574472,5.501280141164021
10,11,0.0001,5,2,0.001,15.865331374019025,16.036468448409114,10.488530084311243,5.376801312687886,10.590951603579233,5.445516847702394
11,12,0.0001,5,2,0.001,16.187899003545922,16.191027997488,10.868681838713497,5.31921724526279,10.772989244346158,5.418038776121944
12,13,0.0001,5,2,0.001,16.584730355136365,16.509204301489405,11.286485809877695,5.298244505043489,11.13256600391434,5.376638317682657
13,14,0.0001,5,2,0.001,16.454792114625494,16.719108857304217,11.162172512835767,5.292619590299675,11.368418716522584,5.3506900258811125
14,15,0.0001,5,2,0.001,16.72755511410265,16.738244815045093,11.490787666964243,5.23676742128579,11.413598278918899,5.324646504528551
15,16,0.0001,5,2,0.001,16.32342759097915,16.6784690948854,11.120240763009313,5.20318686818502,11.396528123373008,5.281940902572081
16,17,0.0001,5,2,0.001,17.04280616576413,16.494281745818725,11.836480646248324,5.2063254304679045,11.247042793825448,5.24723897497338
17,18,0.0001,5,2,0.001,16.446232864655645,16.586415152951897,11.2588357695614,5.1873970663691145,11.354161745094391,5.2322534250925825
18,19,0.0001,5,2,0.001,16.221036129687207,16.41931456830128,11.087455146283988,5.133580977658191,11.20707922096712,5.21223538467683
19,20,0.0001,5,2,0.001,16.25122678136251,16.548590487744434,11.137549836951566,5.113676889833197,11.346785212137613,5.201805373272264
20,21,0.0001,5,2,0.001,17.13443780232625,16.64406332912215,11.997310695877994,5.137126965695117,11.463782304740814,5.1802810042737475
21,22,0.0001,5,2,0.001,17.191377398479414,16.907671101122016,12.118850012859665,5.072527483285191,11.754165431103074,5.153505655656378
22,23,0.0001,5,2,0.001,16.624880825180604,16.955774019999676,11.576756925467985,5.048124008868114,11.822192295488104,5.133581776216806
23,24,0.0001,5,2,0.001,17.36115447584405,16.943802707166558,12.319921711841262,5.041232838688127,11.841039272676031,5.102763480450734
24,25,0.0001,5,2,0.001,16.753748158374464,17.13639419050102,11.75135447031044,5.002393705299101,12.051684988550393,5.084709239293294
25,26,0.0001,5,2,0.001,17.267904074795275,17.152982332620276,12.289114274174334,4.978789881051305,12.101870973426175,5.051111370684152
26,27,0.0001,5,2,0.001,17.77452919282109,17.434357493756764,12.819510551820319,4.955018652490823,12.40928071952728,5.025076900620058
27,28,0.0001,5,2,0.001,17.442997323461327,17.447845861136194,12.544172447848032,4.898824832525598,12.4589273498719,4.988918465304088
28,29,0.0001,5,2,0.001,17.943137996168023,17.61701992908156,13.069090521479227,4.874047629804497,12.648069720670401,4.968950153833412
29,30,0.0001,5,2,0.001,18.426141980182695,18.088198995015706,13.601302951215262,4.824839069182614,13.169041265924292,4.91915770611131
30,31,0.0001,5,2,0.001,18.37138064510851,18.359405115426306,13.5598396622991,4.811540954084282,13.482387531234558,4.877017678984677
31,32,0.0001,5,2,0.001,17.925635429750006,18.08110214141478,13.161132559718856,4.764502964824079,13.222862387277994,4.858239779989403
32,33,0.0001,5,2,0.001,18.59155932966485,18.333561334265283,13.893386174397296,4.698173086327243,13.522007798574057,4.811553647719234
33,34,0.0001,5,2,0.001,18.59171268738896,18.836766817483557,13.874351156763284,4.7173614501953125,14.054685466260795,4.782081299517528
34,35,0.0001,5,2,0.001,19.30767271892134,19.108035880399036,14.663740790033915,4.643931811114392,14.365039308387113,4.742996572011925
35,36,0.0001,5,2,0.001,19.633690110172132,19.556169222636395,15.011165584426328,4.622524565960988,14.842104762433523,4.714064431477742
36,37,0.0001,5,2,0.001,19.06642322080681,19.59656948641122,14.449711868561893,4.616711329264813,14.911124057080372,4.6854454839085955
37,38,0.0001,5,2,0.001,19.27511731113296,19.488611841776287,14.683499772864652,4.591617495180612,14.830058385090656,4.658553508390863
38,39,0.0001,5,2,0.001,20.140974332051105,19.546305196831025,15.570732380970416,4.570241821817605,14.892619420246906,4.653685808181763
39,40,0.0001,5,2,0.001,19.584050465779132,19.769023286290917,15.032234973218067,4.551815555756351,15.141068550477545,4.627954747303423
40,41,0.0001,5,2,0.001,19.779467260981182,20.10035928473415,15.261590325688742,4.51787689794977,15.48601676757077,4.614342528653432
