model;fold;micro_f1;macro_f1;weighted_f1;selector
LogisticRegression;3;0.9615384615384616;0.973919413919414;0.9601718794026488;RF
SVC;3;0.9615384615384616;0.973919413919414;0.9601718794026488;RF
RandomForestClassifier;3;0.9807692307692308;0.9834920634920636;0.9793040293040292;RF
LGBMClassifier;3;0.9615384615384616;0.973919413919414;0.9601718794026488;RF
LogisticRegression;3;0.9807692307692308;0.9834920634920636;0.9793040293040292;SVC
SVC;3;0.9807692307692308;0.9834920634920636;0.9793040293040292;SVC
RandomForestClassifier;3;0.9807692307692308;0.9834920634920636;0.9793040293040292;SVC
LGBMClassifier;3;0.9807692307692308;0.9834920634920636;0.9793040293040292;SVC
LogisticRegression;4;0.9615384615384616;0.9535282651072126;0.9633828160143948;anova
SVC;4;0.9807692307692308;0.989083820662768;0.9813315339631128;anova
RandomForestClassifier;4;0.9615384615384616;0.9517460317460318;0.961904761904762;anova
LGBMClassifier;4;0.9230769230769232;0.8824452740242215;0.9240789574797672;anova
LogisticRegression;4;0.9807692307692308;0.9644444444444444;0.982051282051282;MI
SVC;4;0.9807692307692308;0.9644444444444444;0.982051282051282;MI
RandomForestClassifier;4;0.9807692307692308;0.9644444444444444;0.982051282051282;MI
LGBMClassifier;4;0.9615384615384616;0.913939393939394;0.9604895104895104;MI
LogisticRegression;4;1.0;1.0;1.0;LR
SVC;4;1.0;1.0;1.0;LR
RandomForestClassifier;4;0.9807692307692308;0.9920467836257312;0.9809041835357624;LR
LGBMClassifier;4;0.9615384615384616;0.9564912280701756;0.9629554655870446;LR
LogisticRegression;4;0.9423076923076924;0.9437037037037038;0.9452991452991454;RF
SVC;4;0.9807692307692308;0.989083820662768;0.9813315339631128;RF
RandomForestClassifier;4;0.9423076923076924;0.9274074074074076;0.9457264957264956;RF
LGBMClassifier;4;0.9423076923076924;0.938876250455198;0.944786028186838;RF
LogisticRegression;4;1.0;1.0;1.0;SVC
SVC;4;1.0;1.0;1.0;SVC
RandomForestClassifier;4;0.9807692307692308;0.9644444444444444;0.982051282051282;SVC
LGBMClassifier;4;0.9615384615384616;0.953939393939394;0.9625874125874124;SVC
LogisticRegression;5;0.8846153846153846;0.8877248677248678;0.893986568986569;anova
SVC;5;0.903846153846154;0.8735042735042735;0.8888067061143984;anova
RandomForestClassifier;5;0.903846153846154;0.8126984126984127;0.8814102564102563;anova
LGBMClassifier;5;0.8846153846153846;0.8398453398453398;0.8725814783507092;anova
LogisticRegression;5;0.8846153846153846;0.8882539682539683;0.8904761904761904;MI
SVC;5;0.903846153846154;0.8468599033816424;0.8947881828316611;MI
RandomForestClassifier;5;0.903846153846154;0.7776719576719576;0.8816544566544569;MI
LGBMClassifier;5;0.903846153846154;0.9090516890516892;0.9011529069221378;MI
LogisticRegression;5;0.9423076923076924;0.8964590964590965;0.936531417300648;LR
SVC;5;0.903846153846154;0.8755555555555555;0.891025641025641;LR
RandomForestClassifier;5;0.903846153846154;0.8121020686238078;0.8887066575193666;LR
LGBMClassifier;5;0.8846153846153846;0.8106060606060607;0.8767482517482517;LR
LogisticRegression;5;0.8846153846153846;0.8542450142450143;0.8774819197896121;RF
SVC;5;0.903846153846154;0.8555555555555555;0.891025641025641;RF
RandomForestClassifier;5;0.9230769230769232;0.8817805383022775;0.907608695652174;RF
LGBMClassifier;5;0.9230769230769232;0.8525925925925927;0.9145299145299146;RF
LogisticRegression;5;0.9807692307692308;0.983157894736842;0.9821862348178138;SVC
SVC;5;0.9230769230769232;0.8837606837606837;0.909516765285996;SVC
RandomForestClassifier;5;0.9230769230769232;0.8817805383022775;0.907608695652174;SVC
LGBMClassifier;5;0.9423076923076924;0.8820675620675621;0.9347609655301964;SVC
LogisticRegression;6;0.9615384615384616;0.9568253968253968;0.9626373626373628;anova
SVC;6;0.9423076923076924;0.968447204968944;0.9413999044433828;anova
RandomForestClassifier;6;0.903846153846154;0.9504761904761906;0.9049450549450552;anova
LGBMClassifier;6;0.9230769230769232;0.8687253487253487;0.9159229659229658;anova
LogisticRegression;6;0.8846153846153846;0.8446153846153847;0.8887080867850099;MI
SVC;6;0.903846153846154;0.8601932367149759;0.9011984392419176;MI
RandomForestClassifier;6;0.9230769230769232;0.8640981240981241;0.9220196470196468;MI
LGBMClassifier;6;0.903846153846154;0.8776231176231176;0.9046163238470932;MI
LogisticRegression;6;0.9615384615384616;0.9695238095238096;0.9608058608058608;LR
SVC;6;0.9423076923076924;0.964040404040404;0.9414918414918414;LR
RandomForestClassifier;6;0.903846153846154;0.9266666666666666;0.9012820512820512;LR
LGBMClassifier;6;0.9423076923076924;0.943989898989899;0.9435897435897436;LR
LogisticRegression;6;0.9615384615384616;0.9568253968253968;0.9626373626373628;RF
SVC;6;0.9230769230769232;0.95997113997114;0.923942723942724;RF
RandomForestClassifier;6;0.9423076923076924;0.9674659639877032;0.942632005675484;RF
LGBMClassifier;6;0.9615384615384616;0.9568253968253968;0.9626373626373628;RF
LogisticRegression;6;0.9615384615384616;0.9568253968253968;0.9626373626373628;SVC
SVC;6;0.9615384615384616;0.976161616161616;0.9607226107226108;SVC
RandomForestClassifier;6;0.9230769230769232;0.9345454545454548;0.9224941724941724;SVC
LGBMClassifier;6;0.9615384615384616;0.9662371615312793;0.9587157940099116;SVC
LogisticRegression;7;0.9423076923076924;0.9553703703703704;0.9444444444444444;anova
SVC;7;0.903846153846154;0.9392015392015391;0.903984903984904;anova
RandomForestClassifier;7;0.8846153846153846;0.8902116402116403;0.878052503052503;anova
LGBMClassifier;7;0.903846153846154;0.8643097643097643;0.9126262626262628;anova
LogisticRegression;7;0.9807692307692308;0.9925696594427244;0.9808287687544652;MI
SVC;7;0.9423076923076924;0.9759197324414716;0.9394134293799846;MI
RandomForestClassifier;7;0.9615384615384616;0.985;0.9615384615384616;MI
LGBMClassifier;7;0.9807692307692308;0.9717171717171718;0.9784382284382284;MI
LogisticRegression;7;0.9807692307692308;0.9904306220095692;0.9811372837688628;LR
SVC;7;0.9230769230769232;0.9512820512820512;0.9196252465483234;LR
RandomForestClassifier;7;1.0;1.0;1.0;LR
LGBMClassifier;7;1.0;1.0;1.0;LR
LogisticRegression;7;0.9423076923076924;0.9425696594427244;0.9471749226006192;RF
SVC;7;0.9423076923076924;0.9759197324414716;0.9394134293799846;RF
RandomForestClassifier;7;0.903846153846154;0.8832850241545894;0.8953734671125975;RF
LGBMClassifier;7;0.903846153846154;0.8688600288600288;0.8932733932733933;RF
LogisticRegression;7;1.0;1.0;1.0;SVC
SVC;7;0.9423076923076924;0.9759197324414716;0.9394134293799846;SVC
RandomForestClassifier;7;0.9423076923076924;0.9771428571428572;0.941758241758242;SVC
LGBMClassifier;7;0.9615384615384616;0.9748245614035088;0.9629554655870446;SVC
LogisticRegression;8;0.9803921568627452;0.9746031746031746;0.977591036414566;anova
SVC;8;0.9803921568627452;0.9746031746031746;0.977591036414566;anova
RandomForestClassifier;8;0.9607843137254902;0.9621933621933624;0.9578983108394872;anova
LGBMClassifier;8;0.9411764705882352;0.9347027699968876;0.9409750828435948;anova
LogisticRegression;8;0.9607843137254902;0.9637037037037036;0.9586056644880172;MI
SVC;8;0.9803921568627452;0.9746031746031746;0.977591036414566;MI
RandomForestClassifier;8;0.9803921568627452;0.9746031746031746;0.977591036414566;MI
LGBMClassifier;8;0.9411764705882352;0.9247451963241438;0.9536389994594328;MI
LogisticRegression;8;0.9803921568627452;0.9746031746031746;0.977591036414566;LR
SVC;8;0.9803921568627452;0.9746031746031746;0.977591036414566;LR
RandomForestClassifier;8;0.9803921568627452;0.9746031746031746;0.977591036414566;LR
LGBMClassifier;8;0.9607843137254902;0.9488888888888888;0.96078431372549;LR
LogisticRegression;8;0.9411764705882352;0.9503202450570872;0.9388503939587532;RF
SVC;8;0.9803921568627452;0.9746031746031746;0.977591036414566;RF
RandomForestClassifier;8;0.9803921568627452;0.9746031746031746;0.977591036414566;RF
LGBMClassifier;8;0.9803921568627452;0.925925925925926;0.971677559912854;RF
LogisticRegression;8;0.9803921568627452;0.9746031746031746;0.977591036414566;SVC
