,epoch,learning_rate,batch_size,latent_space,train_loss,test_loss,train_loss_kl,train_loss_mse,test_loss_kl,test_loss_mse
0,1,0.0005,5,5,114.57697801704866,124.72796943388789,2.5238452187503677,112.05313275808311,2.770889208797949,121.95708005974092
1,2,0.0005,5,5,100.6037528715938,109.34256854689265,6.226704804294081,94.37704743534685,4.854347812124045,104.48822039868458
2,3,0.0005,5,5,92.05914830586997,95.45438339049558,7.067020060068153,84.99212779768978,6.648192692951984,88.80619076648391
3,4,0.0005,5,5,88.43118699774685,91.09927901302476,7.489337938377656,80.94184884680323,7.003674168184579,84.09560490803547
4,5,0.0005,5,5,84.84629660916616,88.05960758622871,7.714804385081831,77.13149238494505,7.260404816593033,80.79920279261577
5,6,0.0005,5,5,82.1702141359628,85.15313619590667,6.436705956976097,75.73350809855633,7.603571828589382,77.54956454541309
6,7,0.0005,5,5,79.39090089912874,82.74022021925593,7.549528047262904,71.84137293804123,7.5549662658967165,75.18525360291262
7,8,0.0005,5,5,78.12386308233422,82.0946354234075,9.293024218226053,68.83083872048252,7.881495136812509,74.21314005104892
8,9,0.0005,5,5,80.14894683102527,80.48998609795628,6.669318440448807,73.47962845951677,7.818175528422896,72.67181102339043
9,10,0.0005,5,5,75.36842102602304,79.12793023902249,7.815800925335252,67.55261984216162,7.864151885710567,71.26377799712031
10,11,0.0005,5,5,76.47913149178746,77.69812866578619,8.633563524269196,67.84556763430676,7.798210212983281,69.89991824598198
11,12,0.0005,5,5,74.10819681006741,76.67600406508848,7.649742321795728,66.45845491340361,7.934327631111604,68.7416768820889
12,13,0.0005,5,5,74.22521995636355,75.7975713431117,8.224490952779012,66.00072874505835,8.097429292747773,67.70014227441995
13,14,0.0005,5,5,72.09939304030085,75.74763907007424,8.453972132809191,63.64542090174663,8.02110681189112,67.72653239606375
14,15,0.0005,5,5,72.94040813216243,74.33184414599316,7.449091945786074,65.49131600253553,7.875429004071707,66.45641492361045
15,16,0.0005,5,5,72.0957643899573,74.54167667067195,8.311109226870249,63.784654916050926,8.262354465852301,66.27932233695525
16,17,0.0005,5,5,71.01752545460161,74.35670760740717,7.653518418231642,63.364006984664734,8.15103299359241,66.20567459657968
17,18,0.0005,5,5,73.14719115107893,73.19018839640789,7.032351666186229,66.11483957681311,8.327356424676367,64.86283208088703
18,19,0.0005,5,5,70.25187241887471,72.74888335078596,8.021587613117264,62.23028447254595,8.342998860830283,64.40588411078396
19,20,0.0005,5,5,70.33916928394731,72.20385176876941,6.868254408778914,63.47091477175793,8.388139954532486,63.81571174529662
20,21,0.0005,5,5,69.4841583435794,71.97646639720503,8.308702135660562,61.17545640324972,8.40530016910599,63.571166440665
21,22,0.0005,5,5,69.29318485489812,71.18272818140237,7.489060258290854,61.8041247172528,8.432191768324518,62.75053612582655
22,23,0.0005,5,5,68.12224735122129,71.1355909324554,8.410606016595679,59.71164115078478,8.42182395544397,62.71376681040569
23,24,0.0005,5,5,68.71658086202231,70.86686761695218,8.039531391787241,60.67704961386072,8.42002297596759,62.44684490525579
24,25,0.0005,5,5,67.85335094957466,70.09572412881506,9.759404303079629,58.09394661776991,8.382785492632763,61.71293846957655
25,26,0.0005,5,5,70.10373876180994,70.00075724038733,9.453654024974409,60.65008453001459,8.660093100674182,61.34066400183252
26,27,0.0005,5,5,68.48319069735975,70.76336614769626,8.823123403342374,59.660067316997484,8.55707285777632,62.20629317501941
27,28,0.0005,5,5,67.01274775309734,69.6009705325207,9.426450539784259,57.58629723054817,8.54343886547778,61.057531241911
28,29,0.0005,5,5,68.31567552865269,70.52999128778296,7.782332707600421,60.53334266019155,8.855717997953116,61.67427315769425
29,30,0.0005,5,5,66.93333954408945,69.22119719723621,8.241821582058826,58.6915179792657,8.734770861016699,60.48642620408391
30,31,0.0005,5,5,66.53661010926028,68.37047659632671,8.935061678828964,57.601548528096764,8.666264740817518,59.70421209680029
31,32,0.0005,5,5,66.64488836081631,67.89128838964255,8.888939960893378,57.75594807820148,8.708882946565927,59.18240563266249
32,33,0.0005,5,5,65.40601036347539,67.70356410382742,9.287078541445444,56.118931689894346,8.87572282193655,58.827841655317556
33,34,0.0005,5,5,68.00618049897344,67.73276882861035,10.135393935513784,57.87078687369105,8.968766448009445,58.76400246677628
34,35,0.0005,5,5,67.38946551587208,68.12505924270813,9.175309979771994,58.21415572568595,9.052261145718127,59.072798119970116
35,36,0.0005,5,5,67.05253863047405,66.98838240841785,8.803922400417099,58.24861609217632,8.932292788861746,58.05609006766813
36,37,0.0005,5,5,63.9953682221562,66.81493589102504,8.803466492388623,55.19190174700266,9.038172819528235,57.77676345641355
37,38,0.0005,5,5,64.26528604346585,66.15496329801628,8.286639902965131,55.97864638179182,8.837011446435767,57.317951753915075
38,39,0.0005,5,5,64.47987829920757,66.23989698111293,8.600226741239249,55.87965154073324,9.013972879892373,57.225924020790195
39,40,0.0005,5,5,63.39537034551781,65.95647554512483,9.96724925558251,53.428121291011216,9.008988960679755,56.94748639485922
40,41,0.0005,5,5,63.39282824045204,66.4742723487946,10.133121881140283,53.25970665805311,9.001635637628027,57.47263685479221
41,42,0.0005,5,5,62.97209994764213,65.22349479399531,8.44538451390094,54.52671547395637,9.136016592921981,56.08747845385448
42,43,0.0005,5,5,63.863572775599465,64.98362934158509,9.535851926688688,54.32772091785109,8.924005807164203,56.059623626341306
43,44,0.0005,5,5,63.21205672298569,65.04487871836467,9.217622412256448,53.99443394304758,9.107597638325519,55.937280540006704
