model;fold;micro_f1;macro_f1;weighted_f1;cm;Imputation;Normalization;PXD
LogisticRegression;2;0.5;0.3333333333333333;0.6666666666666666;"[[0 0]
 [2 2]]";PCA+LOD;Median Norm;PXD002842
SVC;2;0.0;0.0;0.0;"[[0 0 0]
 [0 0 0]
 [1 3 0]]";PCA+LOD;Median Norm;PXD002842
RandomForestClassifier;2;0.0;0.0;0.0;"[[0 0]
 [4 0]]";PCA+LOD;Median Norm;PXD002842
LGBMClassifier;2;0.0;0.0;0.0;"[[0 0 0 0]
 [0 0 0 0]
 [1 2 0 1]
 [0 0 0 0]]";PCA+LOD;Median Norm;PXD002842
LogisticRegression;2;1.0;1.0;1.0;[[4]];Shifted Gaussian;NSAF;PXD002842
SVC;2;0.0;0.0;0.0;"[[0 0 0]
 [0 0 0]
 [3 1 0]]";Shifted Gaussian;NSAF;PXD002842
RandomForestClassifier;2;0.75;0.4285714285714285;0.8571428571428571;"[[0 0]
 [1 3]]";Shifted Gaussian;NSAF;PXD002842
LGBMClassifier;2;0.25;0.1333333333333333;0.4;"[[0 0 0]
 [2 1 1]
 [0 0 0]]";Shifted Gaussian;NSAF;PXD002842
LogisticRegression;2;0.0;0.0;0.0;"[[0 0 0]
 [3 0 1]
 [0 0 0]]";Shifted Gaussian;ComBat;PXD002842
SVC;2;0.0;0.0;0.0;"[[0 0]
 [4 0]]";Shifted Gaussian;ComBat;PXD002842
RandomForestClassifier;2;0.25;0.2;0.4;"[[1 3]
 [0 0]]";Shifted Gaussian;ComBat;PXD002842
LGBMClassifier;2;0.5;0.2222222222222222;0.6666666666666666;"[[2 1 1]
 [0 0 0]
 [0 0 0]]";Shifted Gaussian;ComBat;PXD002842
LogisticRegression;2;1.0;1.0;1.0;[[4]];Shifted Gaussian;Quantile;PXD002842
SVC;2;0.0;0.0;0.0;"[[0 0]
 [4 0]]";Shifted Gaussian;Quantile;PXD002842
RandomForestClassifier;2;0.5;0.3333333333333333;0.6666666666666666;"[[0 0]
 [2 2]]";Shifted Gaussian;Quantile;PXD002842
LGBMClassifier;2;0.0;0.0;0.0;"[[0 4]
 [0 0]]";Shifted Gaussian;Quantile;PXD002842
LogisticRegression;2;0.75;0.4285714285714285;0.8571428571428571;"[[0 0]
 [1 3]]";Shifted Gaussian;Median Norm;PXD002842
SVC;2;0.0;0.0;0.0;"[[0 0 0]
 [0 0 0]
 [3 1 0]]";Shifted Gaussian;Median Norm;PXD002842
RandomForestClassifier;2;0.5;0.3333333333333333;0.6666666666666666;"[[2 2]
 [0 0]]";Shifted Gaussian;Median Norm;PXD002842
LGBMClassifier;2;0.0;0.0;0.0;"[[0 0 0 0]
 [0 0 0 0]
 [1 1 0 2]
 [0 0 0 0]]";Shifted Gaussian;Median Norm;PXD002842
LogisticRegression;2;0.0;0.0;0.0;"[[0 0 0 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [1 1 1 0 1]
 [0 0 0 0 0]]";KNNImpute;NSAF;PXD002842
SVC;2;0.0;0.0;0.0;"[[0 0]
 [4 0]]";KNNImpute;NSAF;PXD002842
RandomForestClassifier;2;0.0;0.0;0.0;"[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [1 2 1 0]]";KNNImpute;NSAF;PXD002842
LGBMClassifier;2;0.0;0.0;0.0;"[[0 0 0 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [1 1 1 0 1]
 [0 0 0 0 0]]";KNNImpute;NSAF;PXD002842
LogisticRegression;2;0.0;0.0;0.0;"[[0 0 0 0 0]
 [0 0 0 0 0]
 [1 1 0 1 1]
 [0 0 0 0 0]
 [0 0 0 0 0]]";KNNImpute;ComBat;PXD002842
SVC;2;0.0;0.0;0.0;"[[0 0 0]
 [0 0 0]
 [1 3 0]]";KNNImpute;ComBat;PXD002842
RandomForestClassifier;2;0.0;0.0;0.0;"[[0 0 0 0]
 [0 0 0 0]
 [2 1 0 1]
 [0 0 0 0]]";KNNImpute;ComBat;PXD002842
LGBMClassifier;2;0.0;0.0;0.0;"[[0 0 0]
 [0 0 0]
 [3 1 0]]";KNNImpute;ComBat;PXD002842
LogisticRegression;2;0.0;0.0;0.0;"[[0 0 0 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [1 1 1 1 0]]";KNNImpute;Quantile;PXD002842
SVC;2;0.0;0.0;0.0;"[[0 0]
 [4 0]]";KNNImpute;Quantile;PXD002842
RandomForestClassifier;2;0.0;0.0;0.0;"[[0 0 0 0]
 [0 0 0 0]
 [1 2 0 1]
 [0 0 0 0]]";KNNImpute;Quantile;PXD002842
LGBMClassifier;2;0.0;0.0;0.0;"[[0 0 0 0]
 [0 0 0 0]
 [1 2 0 1]
 [0 0 0 0]]";KNNImpute;Quantile;PXD002842
LogisticRegression;2;0.0;0.0;0.0;"[[0 0 0 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [1 1 1 0 1]
 [0 0 0 0 0]]";KNNImpute;Median Norm;PXD002842
SVC;2;0.0;0.0;0.0;"[[0 0]
 [4 0]]";KNNImpute;Median Norm;PXD002842
RandomForestClassifier;2;0.0;0.0;0.0;"[[0 0 0]
 [2 0 2]
 [0 0 0]]";KNNImpute;Median Norm;PXD002842
LGBMClassifier;2;0.0;0.0;0.0;"[[0 0 0 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [1 1 1 0 1]
 [0 0 0 0 0]]";KNNImpute;Median Norm;PXD002842
LogisticRegression;2;0.0;0.0;0.0;"[[0 0]
 [4 0]]";PCA;NSAF;PXD002842
