model;fold;micro_f1;macro_f1;weighted_f1;cm;Imputation;Normalization;PXD
LogisticRegression;9;1.0;1.0;1.0;[[3]];Shifted Gaussian;Quantile;PXD002057
SVC;9;1.0;1.0;1.0;[[3]];Shifted Gaussian;Quantile;PXD002057
RandomForestClassifier;9;1.0;1.0;1.0;[[3]];Shifted Gaussian;Quantile;PXD002057
LGBMClassifier;9;1.0;1.0;1.0;[[3]];Shifted Gaussian;Quantile;PXD002057
LogisticRegression;9;1.0;1.0;1.0;[[3]];Shifted Gaussian;Median Norm;PXD002057
SVC;9;1.0;1.0;1.0;[[3]];Shifted Gaussian;Median Norm;PXD002057
RandomForestClassifier;9;1.0;1.0;1.0;[[3]];Shifted Gaussian;Median Norm;PXD002057
LGBMClassifier;9;1.0;1.0;1.0;[[3]];Shifted Gaussian;Median Norm;PXD002057
LogisticRegression;9;0.0;0.0;0.0;"[[0 0 0 0]
 [1 0 1 1]
 [0 0 0 0]
 [0 0 0 0]]";KNNImpute;NSAF;PXD002057
SVC;9;1.0;1.0;1.0;[[3]];KNNImpute;NSAF;PXD002057
RandomForestClassifier;9;0.0;0.0;0.0;"[[0 0 0 0]
 [1 0 1 1]
 [0 0 0 0]
 [0 0 0 0]]";KNNImpute;NSAF;PXD002057
LGBMClassifier;9;0.0;0.0;0.0;"[[0 1 1 1]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]]";KNNImpute;NSAF;PXD002057
LogisticRegression;9;0.0;0.0;0.0;"[[0 0 0 0]
 [1 0 1 1]
 [0 0 0 0]
 [0 0 0 0]]";KNNImpute;ComBat;PXD002057
SVC;9;0.0;0.0;0.0;"[[0 0]
 [3 0]]";KNNImpute;ComBat;PXD002057
RandomForestClassifier;9;0.3333333333333333;0.1666666666666666;0.5;"[[0 0 0]
 [1 1 1]
 [0 0 0]]";KNNImpute;ComBat;PXD002057
LGBMClassifier;9;0.0;0.0;0.0;"[[0 0 0 0]
 [1 0 1 1]
 [0 0 0 0]
 [0 0 0 0]]";KNNImpute;ComBat;PXD002057
LogisticRegression;9;0.0;0.0;0.0;"[[0 1 1 1]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]]";KNNImpute;Quantile;PXD002057
SVC;9;1.0;1.0;1.0;[[3]];KNNImpute;Quantile;PXD002057
RandomForestClassifier;9;0.3333333333333333;0.1666666666666666;0.5;"[[1 1 1]
 [0 0 0]
 [0 0 0]]";KNNImpute;Quantile;PXD002057
LGBMClassifier;9;0.3333333333333333;0.1666666666666666;0.5;"[[1 1 1]
 [0 0 0]
 [0 0 0]]";KNNImpute;Quantile;PXD002057
LogisticRegression;9;0.0;0.0;0.0;"[[0 2 1]
 [0 0 0]
 [0 0 0]]";KNNImpute;Median Norm;PXD002057
SVC;9;1.0;1.0;1.0;[[3]];KNNImpute;Median Norm;PXD002057
RandomForestClassifier;9;0.3333333333333333;0.1666666666666666;0.5;"[[1 1 1]
 [0 0 0]
 [0 0 0]]";KNNImpute;Median Norm;PXD002057
LGBMClassifier;9;0.3333333333333333;0.1666666666666666;0.5;"[[1 1 1]
 [0 0 0]
 [0 0 0]]";KNNImpute;Median Norm;PXD002057
LogisticRegression;9;1.0;1.0;1.0;[[3]];PCA;NSAF;PXD002057
SVC;9;1.0;1.0;1.0;[[3]];PCA;NSAF;PXD002057
RandomForestClassifier;9;1.0;1.0;1.0;[[3]];PCA;NSAF;PXD002057
LGBMClassifier;9;1.0;1.0;1.0;[[3]];PCA;NSAF;PXD002057
LogisticRegression;9;0.0;0.0;0.0;"[[0 0]
 [3 0]]";PCA;ComBat;PXD002057
SVC;9;0.0;0.0;0.0;"[[0 0]
 [3 0]]";PCA;ComBat;PXD002057
RandomForestClassifier;9;0.6666666666666666;0.4;0.8000000000000002;"[[0 0]
 [1 2]]";PCA;ComBat;PXD002057
LGBMClassifier;9;0.3333333333333333;0.25;0.5;"[[0 0]
 [2 1]]";PCA;ComBat;PXD002057
LogisticRegression;9;1.0;1.0;1.0;[[3]];PCA;Quantile;PXD002057
SVC;9;1.0;1.0;1.0;[[3]];PCA;Quantile;PXD002057
RandomForestClassifier;9;1.0;1.0;1.0;[[3]];PCA;Quantile;PXD002057
LGBMClassifier;9;1.0;1.0;1.0;[[3]];PCA;Quantile;PXD002057
LogisticRegression;9;1.0;1.0;1.0;[[3]];PCA;Median Norm;PXD002057
SVC;9;1.0;1.0;1.0;[[3]];PCA;Median Norm;PXD002057
RandomForestClassifier;9;1.0;1.0;1.0;[[3]];PCA;Median Norm;PXD002057
LGBMClassifier;9;1.0;1.0;1.0;[[3]];PCA;Median Norm;PXD002057
LogisticRegression;10;0.4000000000000001;0.25;0.4;"[[0 0 3 0]
 [0 4 0 0]
 [0 0 0 0]
 [0 0 3 0]]";KNN+LOD;NSAF;PXD001352
SVC;10;0.2;0.1666666666666666;0.2666666666666666;"[[0 0 3 0]
 [0 2 2 0]
 [0 0 0 0]
 [0 0 3 0]]";KNN+LOD;NSAF;PXD001352
RandomForestClassifier;10;0.3;0.1363636363636363;0.2181818181818181;"[[0 3 0 0]
 [1 3 0 0]
 [0 0 0 0]
 [1 1 1 0]]";KNN+LOD;NSAF;PXD001352
LGBMClassifier;10;0.4000000000000001;0.16;0.32;"[[0 2 1 0 0]
 [0 4 0 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [1 0 1 1 0]]";KNN+LOD;NSAF;PXD001352
LogisticRegression;10;0.0;0.0;0.0;"[[0 0 2 1 0]
 [0 0 3 1 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [0 0 3 0 0]]";KNN+LOD;ComBat;PXD001352
SVC;10;0.4000000000000001;0.1666666666666666;0.2666666666666666;"[[0 1 0 2]
 [0 4 0 0]
 [0 3 0 0]
 [0 0 0 0]]";KNN+LOD;ComBat;PXD001352
RandomForestClassifier;10;0.5;0.3095238095238095;0.438095238095238;"[[2 1 0 0]
 [1 3 0 0]
 [0 0 0 0]
 [1 1 1 0]]";KNN+LOD;ComBat;PXD001352
LGBMClassifier;10;0.2;0.1047619047619047;0.26;"[[1 0 0 1 0 0 1]
 [2 1 0 1 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 1 0 0 2 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]]";KNN+LOD;ComBat;PXD001352
LogisticRegression;10;0.1;0.1;0.16;"[[0 0 3 0]
 [0 1 3 0]
 [0 0 0 0]
 [0 0 3 0]]";KNN+LOD;Quantile;PXD001352
SVC;10;0.2;0.1428571428571428;0.2285714285714286;"[[0 1 2 0]
 [0 2 2 0]
 [0 0 0 0]
 [0 0 3 0]]";KNN+LOD;Quantile;PXD001352
RandomForestClassifier;10;0.4000000000000001;0.1904761904761905;0.2285714285714286;"[[0 3 0]
 [0 4 0]
 [0 3 0]]";KNN+LOD;Quantile;PXD001352
LGBMClassifier;10;0.1;0.0666666666666666;0.12;"[[1 0 0 0 0 2]
 [0 0 3 1 0 0]
 [0 0 0 0 0 0]
 [0 0 0 0 0 0]
 [1 1 0 0 0 1]
 [0 0 0 0 0 0]]";KNN+LOD;Quantile;PXD001352
LogisticRegression;10;0.4000000000000001;0.25;0.4;"[[0 0 3 0]
 [0 4 0 0]
 [0 0 0 0]
 [0 0 3 0]]";KNN+LOD;Median Norm;PXD001352
SVC;10;0.4000000000000001;0.25;0.4;"[[0 0 3 0]
 [0 4 0 0]
 [0 0 0 0]
 [0 0 3 0]]";KNN+LOD;Median Norm;PXD001352
RandomForestClassifier;10;0.4000000000000001;0.1904761904761905;0.2285714285714286;"[[0 3 0]
 [0 4 0]
 [0 3 0]]";KNN+LOD;Median Norm;PXD001352
LGBMClassifier;10;0.0;0.0;0.0;"[[0 3 0 0 0]
 [0 0 4 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [1 0 0 2 0]]";KNN+LOD;Median Norm;PXD001352
LogisticRegression;10;0.4000000000000001;0.25;0.4;"[[0 0 3 0]
 [0 4 0 0]
 [0 0 0 0]
 [0 0 3 0]]";PCA+LOD;NSAF;PXD001352
SVC;10;0.2;0.1666666666666666;0.2666666666666666;"[[0 0 3 0]
 [0 2 2 0]
 [0 0 0 0]
 [0 0 3 0]]";PCA+LOD;NSAF;PXD001352
RandomForestClassifier;10;0.4000000000000001;0.1818181818181818;0.2909090909090909;"[[0 1 2 0]
 [0 4 0 0]
 [0 0 0 0]
 [0 2 1 0]]";PCA+LOD;NSAF;PXD001352
LGBMClassifier;10;0.2;0.1964285714285714;0.2642857142857143;"[[0 2 0 1]
 [2 1 0 1]
 [1 0 1 1]
 [0 0 0 0]]";PCA+LOD;NSAF;PXD001352
LogisticRegression;10;0.0;0.0;0.0;"[[0 0 2 1 0]
 [0 0 2 2 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [0 0 3 0 0]]";PCA+LOD;ComBat;PXD001352
SVC;10;0.4000000000000001;0.1904761904761905;0.2285714285714286;"[[0 3 0]
 [0 4 0]
 [0 3 0]]";PCA+LOD;ComBat;PXD001352
RandomForestClassifier;10;0.2;0.1212121212121212;0.1454545454545454;"[[0 3 0]
 [2 2 0]
 [1 2 0]]";PCA+LOD;ComBat;PXD001352
LGBMClassifier;10;0.3;0.1507936507936508;0.3285714285714286;"[[1 0 0 2 0 0]
 [2 2 0 0 0 0]
 [0 0 0 0 0 0]
 [0 0 0 0 0 0]
 [0 1 1 0 0 1]
 [0 0 0 0 0 0]]";PCA+LOD;ComBat;PXD001352
LogisticRegression;10;0.4000000000000001;0.25;0.4;"[[0 0 3 0]
 [0 4 0 0]
 [0 0 0 0]
 [0 0 3 0]]";PCA+LOD;Quantile;PXD001352
SVC;10;0.4000000000000001;0.1666666666666666;0.2666666666666666;"[[0 1 2 0]
 [0 4 0 0]
 [0 0 0 0]
 [0 3 0 0]]";PCA+LOD;Quantile;PXD001352
RandomForestClassifier;10;0.4000000000000001;0.1904761904761905;0.2285714285714286;"[[0 3 0]
 [0 4 0]
 [0 3 0]]";PCA+LOD;Quantile;PXD001352
LGBMClassifier;10;0.4000000000000001;0.219047619047619;0.5;"[[2 0 0 0 1 0 0]
 [0 1 1 0 1 0 1]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 1 1 1 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]]";PCA+LOD;Quantile;PXD001352
LogisticRegression;10;0.4000000000000001;0.25;0.4;"[[0 0 3 0]
 [0 4 0 0]
 [0 0 0 0]
 [0 0 3 0]]";PCA+LOD;Median Norm;PXD001352
SVC;10;0.4000000000000001;0.2;0.32;"[[0 0 3 0]
 [0 4 0 0]
 [0 0 0 0]
 [0 2 1 0]]";PCA+LOD;Median Norm;PXD001352
RandomForestClassifier;10;0.4000000000000001;0.1904761904761905;0.2285714285714286;"[[0 3 0]
 [0 4 0]
 [0 3 0]]";PCA+LOD;Median Norm;PXD001352
LGBMClassifier;10;0.3;0.1666666666666666;0.3;"[[3 0 0 0 0 0]
 [0 0 4 0 0 0]
 [0 0 0 0 0 0]
 [0 0 0 0 0 0]
 [0 0 0 1 0 2]
 [0 0 0 0 0 0]]";PCA+LOD;Median Norm;PXD001352
LogisticRegression;10;0.4000000000000001;0.25;0.4;"[[0 0 3 0]
 [0 4 0 0]
 [0 0 0 0]
 [0 0 3 0]]";Shifted Gaussian;NSAF;PXD001352
SVC;10;0.4000000000000001;0.25;0.4;"[[0 0 3 0]
 [0 4 0 0]
 [0 0 0 0]
 [0 0 3 0]]";Shifted Gaussian;NSAF;PXD001352
RandomForestClassifier;10;0.3;0.1363636363636363;0.2181818181818181;"[[0 2 1 0]
 [0 3 1 0]
 [0 0 0 0]
 [0 2 1 0]]";Shifted Gaussian;NSAF;PXD001352
LGBMClassifier;10;0.6;0.3377777777777778;0.5955555555555556;"[[2 0 1 0 0]
 [0 4 0 0 0]
 [0 0 0 0 0]
 [0 1 1 0 1]
 [0 0 0 0 0]]";Shifted Gaussian;NSAF;PXD001352
LogisticRegression;10;0.4000000000000001;0.2;0.4;"[[0 0 3 0 0]
 [0 4 0 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [0 0 1 2 0]]";Shifted Gaussian;ComBat;PXD001352
SVC;10;0.4000000000000001;0.1538461538461538;0.2461538461538461;"[[0 2 1 0]
 [0 4 0 0]
 [0 0 0 0]
 [0 3 0 0]]";Shifted Gaussian;ComBat;PXD001352
RandomForestClassifier;10;0.5;0.3717948717948718;0.3961538461538461;"[[1 2 0]
 [0 4 0]
 [0 3 0]]";Shifted Gaussian;ComBat;PXD001352
LGBMClassifier;10;0.7;0.3777777777777777;0.6555555555555556;"[[3 0 0 0 0]
 [0 4 0 0 0]
 [0 0 0 0 0]
 [0 1 1 0 1]
 [0 0 0 0 0]]";Shifted Gaussian;ComBat;PXD001352
LogisticRegression;10;0.4000000000000001;0.2;0.4;"[[0 0 3 0 0]
 [0 4 0 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [0 0 2 1 0]]";Shifted Gaussian;Quantile;PXD001352
SVC;10;0.4000000000000001;0.1666666666666666;0.2666666666666666;"[[0 1 2 0]
 [0 4 0 0]
 [0 0 0 0]
 [0 3 0 0]]";Shifted Gaussian;Quantile;PXD001352
RandomForestClassifier;10;0.4000000000000001;0.2222222222222222;0.3555555555555555;"[[0 0 3 0]
 [0 4 0 0]
 [0 0 0 0]
 [0 1 2 0]]";Shifted Gaussian;Quantile;PXD001352
LGBMClassifier;10;0.5;0.3068181818181818;0.4409090909090909;"[[1 2 0 0]
 [0 4 0 0]
 [0 1 0 2]
 [0 0 0 0]]";Shifted Gaussian;Quantile;PXD001352
LogisticRegression;10;0.4000000000000001;0.25;0.4;"[[0 0 3 0]
 [0 4 0 0]
 [0 0 0 0]
 [0 0 3 0]]";Shifted Gaussian;Median Norm;PXD001352
SVC;10;0.4000000000000001;0.1818181818181818;0.2909090909090909;"[[0 1 2 0]
 [0 4 0 0]
 [0 0 0 0]
 [0 2 1 0]]";Shifted Gaussian;Median Norm;PXD001352
RandomForestClassifier;10;0.4000000000000001;0.1666666666666666;0.2666666666666666;"[[0 1 2 0]
 [0 4 0 0]
 [0 0 0 0]
 [0 3 0 0]]";Shifted Gaussian;Median Norm;PXD001352
LGBMClassifier;10;0.6;0.2814814814814815;0.5955555555555556;"[[2 0 0 1 0 0]
 [0 4 0 0 0 0]
 [0 0 0 0 0 0]
 [0 0 0 0 0 0]
 [0 0 0 0 0 0]
 [0 1 1 0 1 0]]";Shifted Gaussian;Median Norm;PXD001352
LogisticRegression;10;0.5;0.2071428571428571;0.582857142857143;"[[2 0 0 0 0 0 0 1]
 [0 3 1 0 0 0 0 0]
 [0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0]
 [0 0 0 1 1 1 0 0]
 [0 0 0 0 0 0 0 0]]";KNNImpute;NSAF;PXD001352
SVC;10;0.4000000000000001;0.1904761904761905;0.2285714285714286;"[[0 3 0]
 [0 4 0]
 [0 3 0]]";KNNImpute;NSAF;PXD001352
RandomForestClassifier;10;0.3;0.15;0.31;"[[1 2 0 0 0 0]
 [0 2 1 0 0 1]
 [0 0 0 0 0 0]
 [0 0 0 0 0 0]
 [0 2 0 1 0 0]
 [0 0 0 0 0 0]]";KNNImpute;NSAF;PXD001352
LGBMClassifier;10;0.2;0.0714285714285714;0.2;"[[0 1 0 1 0 0 1]
 [1 2 0 0 0 1 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 1 1 0 1 0 0]
 [0 0 0 0 0 0 0]]";KNNImpute;NSAF;PXD001352
LogisticRegression;10;0.0;0.0;0.0;"[[0 0 1 0 1 0 1 0 0]
 [1 0 0 1 0 0 0 2 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 0 1 0 0 1]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]]";KNNImpute;ComBat;PXD001352
SVC;10;0.4000000000000001;0.1904761904761905;0.2285714285714286;"[[0 3 0]
 [0 4 0]
 [0 3 0]]";KNNImpute;ComBat;PXD001352
RandomForestClassifier;10;0.3;0.109090909090909;0.2181818181818181;"[[0 2 1 0 0]
 [1 3 0 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [0 2 0 1 0]]";KNNImpute;ComBat;PXD001352
LGBMClassifier;10;0.3;0.0952380952380952;0.2666666666666666;"[[0 1 0 1 0 0 1]
 [1 3 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 1 1 0 0 1 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]]";KNNImpute;ComBat;PXD001352
LogisticRegression;10;0.4000000000000001;0.1700680272108843;0.4428571428571429;"[[1 0 1 0 0 0 1]
 [1 3 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [1 0 0 1 0 1 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]]";KNNImpute;Quantile;PXD001352
SVC;10;0.4000000000000001;0.1904761904761905;0.2285714285714286;"[[0 3 0]
 [0 4 0]
 [0 3 0]]";KNNImpute;Quantile;PXD001352
RandomForestClassifier;10;0.3;0.1714285714285714;0.2857142857142857;"[[2 1 0 0 0]
 [1 1 0 2 0]
 [1 1 0 0 1]
 [0 0 0 0 0]
 [0 0 0 0 0]]";KNNImpute;Quantile;PXD001352
LGBMClassifier;10;0.3;0.1458333333333333;0.4166666666666666;"[[1 0 0 0 0 2 0 0]
 [0 2 2 0 0 0 0 0]
 [0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0]
 [0 0 0 1 1 0 1 0]]";KNNImpute;Quantile;PXD001352
LogisticRegression;10;0.5;0.2799999999999999;0.52;"[[1 0 1 0 1]
 [0 4 0 0 0]
 [0 0 0 0 0]
 [1 0 1 0 1]
 [0 0 0 0 0]]";KNNImpute;Median Norm;PXD001352
SVC;10;0.4000000000000001;0.1904761904761905;0.2285714285714286;"[[0 3 0]
 [0 4 0]
 [0 3 0]]";KNNImpute;Median Norm;PXD001352
RandomForestClassifier;10;0.5;0.3166666666666666;0.44;"[[2 1 0 0]
 [0 3 0 1]
 [1 2 0 0]
 [0 0 0 0]]";KNNImpute;Median Norm;PXD001352
LGBMClassifier;10;0.3;0.125;0.3;"[[0 1 0 0 1 1]
 [0 3 1 0 0 0]
 [0 0 0 0 0 0]
 [0 0 0 0 0 0]
 [0 0 0 0 0 0]
 [1 0 0 2 0 0]]";KNNImpute;Median Norm;PXD001352
LogisticRegression;10;0.2;0.1666666666666666;0.2666666666666666;"[[0 0 3 0]
 [0 2 2 0]
 [0 0 0 0]
 [0 0 3 0]]";PCA;NSAF;PXD001352
SVC;10;0.0;0.0;0.0;"[[0 0 3 0]
 [0 0 4 0]
 [0 0 0 0]
 [0 0 3 0]]";PCA;NSAF;PXD001352
RandomForestClassifier;10;0.3;0.225;0.31;"[[1 2 0 0]
 [0 2 2 0]
 [0 0 0 0]
 [0 2 1 0]]";PCA;NSAF;PXD001352
LGBMClassifier;10;0.2;0.0727272727272727;0.1454545454545454;"[[0 3 0 0 0]
 [0 2 1 0 1]
 [0 0 0 0 0]
 [0 2 0 0 1]
 [0 0 0 0 0]]";PCA;NSAF;PXD001352
LogisticRegression;10;0.0;0.0;0.0;"[[0 0 0 2 1 0 0]
 [0 0 1 0 0 0 3]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 2 0 0 0 1]
 [0 0 0 0 0 0 0]]";PCA;ComBat;PXD001352
SVC;10;0.2;0.0833333333333333;0.1333333333333333;"[[0 3 0 0]
 [0 2 2 0]
 [0 0 0 0]
 [0 3 0 0]]";PCA;ComBat;PXD001352
RandomForestClassifier;10;0.3;0.109090909090909;0.2181818181818181;"[[0 2 1 0 0]
 [0 3 0 1 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [1 2 0 0 0]]";PCA;ComBat;PXD001352
LGBMClassifier;10;0.0;0.0;0.0;"[[0 3 0 0 0 0 0]
 [1 0 0 0 1 1 1]
 [0 0 0 0 0 0 0]
 [0 1 2 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]]";PCA;ComBat;PXD001352
LogisticRegression;10;0.4000000000000001;0.25;0.4;"[[0 0 3 0]
 [0 4 0 0]
 [0 0 0 0]
 [0 0 3 0]]";PCA;Quantile;PXD001352
SVC;10;0.2;0.0909090909090909;0.1454545454545454;"[[0 2 1 0]
 [0 2 2 0]
 [0 0 0 0]
 [0 3 0 0]]";PCA;Quantile;PXD001352
RandomForestClassifier;10;0.4000000000000001;0.1904761904761905;0.2285714285714286;"[[0 3 0]
 [0 4 0]
 [0 3 0]]";PCA;Quantile;PXD001352
LGBMClassifier;10;0.3;0.1153846153846153;0.1846153846153846;"[[0 3 0 0]
 [0 3 1 0]
 [0 0 0 0]
 [0 3 0 0]]";PCA;Quantile;PXD001352
LogisticRegression;10;0.4000000000000001;0.2222222222222222;0.3555555555555555;"[[0 0 3 0]
 [0 4 0 0]
 [0 0 0 0]
 [0 1 2 0]]";PCA;Median Norm;PXD001352
SVC;10;0.4000000000000001;0.2;0.32;"[[0 0 3 0]
 [0 4 0 0]
 [0 0 0 0]
 [0 2 1 0]]";PCA;Median Norm;PXD001352
RandomForestClassifier;10;0.4000000000000001;0.1904761904761905;0.2285714285714286;"[[0 3 0]
 [0 4 0]
 [0 3 0]]";PCA;Median Norm;PXD001352
LGBMClassifier;10;0.3;0.1888888888888888;0.3277777777777778;"[[1 2 0 0 0]
 [0 2 2 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [0 1 1 1 0]]";PCA;Median Norm;PXD001352
LogisticRegression;11;0.2222222222222222;0.1142857142857143;0.1904761904761905;"[[0 0 0 0 0]
 [0 0 0 0 0]
 [0 1 2 0 0]
 [0 0 0 0 0]
 [1 0 2 3 0]]";KNN+LOD;NSAF;PXD000661
SVC;11;0.0;0.0;0.0;"[[0 0 0 0]
 [3 0 0 0]
 [0 0 0 0]
 [4 0 2 0]]";KNN+LOD;NSAF;PXD000661
RandomForestClassifier;11;0.0;0.0;0.0;"[[0 0 0 0]
 [0 0 0 0]
 [0 3 0 0]
 [2 4 0 0]]";KNN+LOD;NSAF;PXD000661
LGBMClassifier;11;0.2222222222222222;0.1;0.1333333333333333;"[[0 0 0 0]
 [0 0 0 0]
 [1 0 2 0]
 [0 1 5 0]]";KNN+LOD;NSAF;PXD000661
LogisticRegression;11;0.0;0.0;0.0;"[[0 0 0 0]
 [2 0 1 0]
 [0 0 0 0]
 [4 0 2 0]]";KNN+LOD;ComBat;PXD000661
SVC;11;0.0;0.0;0.0;"[[0 0 0 0 0]
 [0 0 0 0 0]
 [0 0 0 3 0]
 [0 0 0 0 0]
 [1 5 0 0 0]]";KNN+LOD;ComBat;PXD000661
RandomForestClassifier;11;0.0;0.0;0.0;"[[0 0 0 0]
 [0 0 0 0]
 [3 0 0 0]
 [5 1 0 0]]";KNN+LOD;ComBat;PXD000661
LGBMClassifier;11;0.0;0.0;0.0;"[[0 0 0 0 0 0 0 0]
 [0 0 0 0 1 1 1 0]
 [0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0]
 [2 0 1 1 0 0 1 1]
 [0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0]]";KNN+LOD;ComBat;PXD000661
LogisticRegression;11;0.3333333333333333;0.25;0.3333333333333333;"[[0 0 0 0]
 [0 0 0 0]
 [0 0 3 0]
 [1 5 0 0]]";KNN+LOD;Quantile;PXD000661
SVC;11;0.0;0.0;0.0;"[[0 0 0]
 [3 0 0]
 [6 0 0]]";KNN+LOD;Quantile;PXD000661
RandomForestClassifier;11;0.0;0.0;0.0;"[[0 0 0]
 [3 0 0]
 [6 0 0]]";KNN+LOD;Quantile;PXD000661
LGBMClassifier;11;0.3333333333333333;0.1874999999999999;0.2499999999999999;"[[0 0 0 0]
 [0 3 0 0]
 [0 0 0 0]
 [2 2 2 0]]";KNN+LOD;Quantile;PXD000661
LogisticRegression;11;0.2222222222222222;0.2666666666666666;0.2666666666666667;"[[0 0 0]
 [1 2 0]
 [6 0 0]]";KNN+LOD;Median Norm;PXD000661
SVC;11;0.0;0.0;0.0;"[[0 0 0]
 [3 0 0]
 [6 0 0]]";KNN+LOD;Median Norm;PXD000661
RandomForestClassifier;11;0.0;0.0;0.0;"[[0 0 0]
 [3 0 0]
 [6 0 0]]";KNN+LOD;Median Norm;PXD000661
LGBMClassifier;11;0.3333333333333333;0.25;0.1666666666666666;"[[3 0]
 [6 0]]";KNN+LOD;Median Norm;PXD000661
LogisticRegression;11;0.2222222222222222;0.125;0.1666666666666666;"[[0 0 0 0]
 [1 2 0 0]
 [0 0 0 0]
 [0 3 3 0]]";PCA+LOD;NSAF;PXD000661
SVC;11;0.0;0.0;0.0;"[[0 0 0]
 [3 0 0]
 [6 0 0]]";PCA+LOD;NSAF;PXD000661
RandomForestClassifier;11;0.0;0.0;0.0;"[[0 0 0 0]
 [0 0 0 0]
 [3 0 0 0]
 [3 3 0 0]]";PCA+LOD;NSAF;PXD000661
LGBMClassifier;11;0.0;0.0;0.0;"[[0 0 0 0 0]
 [2 0 0 0 1]
 [0 0 0 0 0]
 [3 1 2 0 0]
 [0 0 0 0 0]]";PCA+LOD;NSAF;PXD000661
LogisticRegression;11;0.0;0.0;0.0;"[[0 0 0 0]
 [3 0 0 0]
 [0 0 0 0]
 [5 0 1 0]]";PCA+LOD;ComBat;PXD000661
SVC;11;0.0;0.0;0.0;"[[0 0 0 0]
 [0 0 0 0]
 [1 2 0 0]
 [0 6 0 0]]";PCA+LOD;ComBat;PXD000661
RandomForestClassifier;11;0.0;0.0;0.0;"[[0 0 0 0]
 [0 0 0 0]
 [3 0 0 0]
 [2 4 0 0]]";PCA+LOD;ComBat;PXD000661
LGBMClassifier;11;0.0;0.0;0.0;"[[0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [1 0 0 1 0 0 1 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [1 2 0 0 1 1 0 1 0]]";PCA+LOD;ComBat;PXD000661
LogisticRegression;11;0.3333333333333333;0.2;0.3333333333333333;"[[0 0 0 0 0]
 [0 3 0 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [1 0 3 2 0]]";PCA+LOD;Quantile;PXD000661
SVC;11;0.0;0.0;0.0;"[[0 0 0]
 [3 0 0]
 [6 0 0]]";PCA+LOD;Quantile;PXD000661
RandomForestClassifier;11;0.1111111111111111;0.1666666666666666;0.1666666666666666;"[[0 0 0]
 [2 1 0]
 [6 0 0]]";PCA+LOD;Quantile;PXD000661
LGBMClassifier;11;0.4444444444444444;0.2589285714285714;0.4404761904761904;"[[0 0 0 0]
 [0 3 0 0]
 [0 0 0 0]
 [2 2 1 1]]";PCA+LOD;Quantile;PXD000661
LogisticRegression;11;0.3333333333333333;0.3333333333333333;0.3333333333333333;"[[0 0 0]
 [0 3 0]
 [6 0 0]]";PCA+LOD;Median Norm;PXD000661
